"area","url","ageElement"
"Koramangala","https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f97a876943d2501769483bf8114e9/detail","5-10 years"
"Kormanagla","https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-kormanagla-bangalore/8a9fd28286533e430186538d9b0430b8/detail","5-10 years"
"Koramangala","https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fd7828803d4c80188045201764444/detail",">10 years"
"Koramangala","https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f9382781a519001781adfad9c3abe/detail",">10 years"
"Koramangala","https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9ffe8387c25ca60187c2b213163178/detail","Newly Constructed"
"Koramangala","https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f9d827bd97646017bd9e86862347f/detail",">10 years"
"Koramangala","https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f168287d19ea50187d1ac9fc907bd/detail",">10 years"
"Koramangala","https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fe6828785051101878575c40e4129/detail",">10 years"
"Ejipura","https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-ejipura-bangalore/8a9fed82856134b20185615d78661673/detail",">10 years"
"Koramangala","https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9ff182862f31b701862f9a197143b0/detail",">10 years"
"Block","https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-1st-block-bangalore/8a9f018287e1b70b0187e1c681c50607/detail","Under Construction"
"Koramangala","https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fa082815be02501815c4f761f4d08/detail",">10 years"
"Koramangala","https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fd3d8842cd96201842d0f4a78258f/detail",">10 years"
"Koramangala","https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fb8827e0c1568017e0c9f6fdc2185/detail",">10 years"
"Koramangala","https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f048286aff0940186b06374885ff8/detail","Newly Constructed"
"Koramangala","https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f0782866cfdfa01866da637e17bb2/detail","Under Construction"
"Koramangala","https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f0582866cfe2301866da21e17784e/detail","Under Construction"
"Koramangala","https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fe1828539ef2d01853a13e96a14ca/detail","Under Construction"
"Koramangala","https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fef828539f09401853a18be1b1719/detail","Under Construction"
"Koramangala","https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-koramangala-bangalore/8a9feb828539ef0f01853a1babd51958/detail","Under Construction"
"Koramangala","https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f9b827671731f017671b9ad770dc7/detail",">10 years"
"Koramangala","https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f05828731faa70187321c733b118c/detail","5-10 years"
"Block","https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-st-block-bangalore/8a9f0a82883377a401883389a0910a17/detail","5-10 years"
"","https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in--hsr-layout--bangalore/8a9f0482869ca0c801869d48d29d00af/detail",">10 years"
"Ejipura","https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-ejipura-bangalore/8a9fe1828359112e018359611b5d3e4a/detail",">10 years"